text,author_id,conversation_id,created_at,source,tweet_id,geo_id,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_type,referenced_id
"#ForaBolsonaroGenocida 
👉🏻 JÁ SÃO 200 MIL MORTOS PELA COVID-19, POR FALTA DE RESPONSABILIDADES DESTE ""TRASTE"", 56 MILHÕES VIVENDO NA INFORMALIDADE, 14 MILHÕES DE DESEMPREGADO, A ECONOMIA A BEIRA DA FALÊNCIA, E ELE 🤡, NEM AI, SÓ PENSANDO NA REELEIÇÃO EM 2022!!! https://t.co/XPP9NBzp4h",50467877,1347216686617931780,2021-01-07 16:21:02,Twitter for Android,1347216686617931780,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#LulaPresidente2022 

Se Cuide Campo PROGRESSISTA!!!

Estamos Enfrentando 3 PRAGAS NO BRASIL:
- COVID-19
- SURTO DE AMEBA(🤡)
- VIRUS DA VACA-LOCA(🐄) https://t.co/3YDreifJgE",50467877,1348250633187565569,2021-01-10 12:49:34,Twitter for Android,1348250633187565569,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#LulaPresidente2022 

Companheiros, a situação da Saúde em Relação ao Tratamento do COVID-19, principalmente aos MAIORES DE 60 ANOS!!!

😷 FIQUEM EM CASA USE MÁSCARAS!😷 https://t.co/saT6OMMEDz",50467877,1369618246203289605,2021-03-10 11:56:50,Twitter for Android,1369618246203289605,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#LulaPresidente2022 

O PRESIDENTE, Que não é o Meu, De VACINAS AO POVO CARA!
- Você Quer que o povo enfrente o COVID-19 de Cara LIMPA? sem usar sequer uma MASCARA???
- O Trabalhador SÓ TEM UMA VIDA, 🤡 FDP ORDINÁRIO SANGUESSUGAS DO INFERNO 🤡!!! https://t.co/fKyyhVCYHp",50467877,1370331475288150022,2021-03-12 11:10:57,Twitter for Android,1370331475288150022,d100eefe651e2a8e,0.0,0.0,1.0,0.0,,,
"#ForaBolsonaroGenocida
No dia em que marca exatamente um ano que a Organização Mundial da Saúde (OMS) declarou a existência de uma pandemia no mundo, o Brasil registrou mais de 2,2 mil mortes pelo novo coronavírus em 24 horas, pelo segundo dia consecutivo.
https://t.co/bydJA0gIt3",50467877,1370153062225096706,2021-03-11 23:22:00,Twitter for Android,1370153062225096706,d100eefe651e2a8e,0.0,0.0,1.0,0.0,,,
"#LulaPresidente2022 

Nós Temos que ASSUMIR A NOSSA RESPONSABILIDADE!!!

- Se Manaus e muitos outros lugares estão MORRENDO PELO CONTÁGIO DO COVID-19, NORMAL, É MESMA PARCELA DE 147 MILHÕES DE BRASILEIROS RELAPSA QUE NÃO OBSERVOU O PERIGO 🤡 NA PRESIDÊNCIA DO BRASIL 🤷🏽‍♂️ https://t.co/zCnbI9prNb",50467877,1350436415398703104,2021-01-16 13:35:05,Twitter for Android,1350436415398703104,d100eefe651e2a8e,0.0,0.0,1.0,0.0,,,
"#LulaPresidente2022 

Nós Temos que ASSUMIR A NOSSA RESPONSABILIDADE!!!

- Se Manaus e muitos outros lugares estão MORRENDO PELO CONTÁGIO DO COVID-19, NORMAL, É MESMA PARCELA DE 147 MILHÕES DE BRASILEIROS RELAPSA QUE NÃO OBSERVOU O PERIGO 🤡 NA PRESIDÊNCIA DO BRASIL 🤷🏽‍♂️ https://t.co/zCnbI9prNb",50467877,1350436415398703104,2021-01-16 13:35:05,Twitter for Android,1350436415398703104,d100eefe651e2a8e,0.0,0.0,1.0,0.0,14925338,,
"#ForaBolsonaro 

👉🏿 IMPIACHMENT JÁ, antes que começamos a MORRER TODOS DE FOME E COVID-19!🤮
https://t.co/Ga9HsMbeYB https://t.co/PCzkOS0lI4",50467877,1354146067097509888,2021-01-26 19:15:55,Twitter for Android,1354146067097509888,d100eefe651e2a8e,0.0,0.0,0.0,0.0,159995198,,
"#ForaBolsonaro 

👉🏿 IMPIACHMENT JÁ, antes que começamos a MORRER TODOS DE FOME E COVID-19!🤮
https://t.co/Ga9HsMbeYB https://t.co/PCzkOS0lI4",50467877,1354146067097509888,2021-01-26 19:15:55,Twitter for Android,1354146067097509888,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#LulaPresidente2022 
Se Cuidem COMPANHEIROS, a Mutação do COVID-19 Versão Amazônica JÁ CIRCULA ENTRE NÓS, E SE MULTIPLICA!!!! https://t.co/jpupcToygH",50467877,1354054228948488196,2021-01-26 13:10:59,Twitter for Android,1354054228948488196,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
